region,task,ablation,r2,pearson,mae,roc,pr_auc,best_f1,iou
north_europe_2010,CC,cn_only,0.6681886315345764,0.8206930539245869,0.03480124473571777,,,,
north_europe_2010,CC,era5_only,-0.019852519035339355,0.5315043393125328,0.09234169125556946,,,,
north_europe_2010,CC,cn_era5,0.675918698310852,0.8247014666813194,0.03565726801753044,,,,
north_europe_2010,BC,cn_only,0.6659318208694458,0.8180424732797098,3.243858373025432,,,,
north_europe_2010,BC,era5_only,0.008840620517730713,0.4931937118958263,6.960991072446632,,,,
north_europe_2010,BC,cn_era5,0.6529593467712402,0.8103845064885408,3.273159450145613,,,,
north_europe_2010,DC,cn_only,0.6857448816299438,0.8298406789551704,0.0058318753726780415,,,,
north_europe_2010,DC,era5_only,-0.03517913818359375,0.5118023181324836,0.012988166883587837,,,,
north_europe_2010,DC,cn_era5,0.6852150559425354,0.8315457160521551,0.00596647709608078,,,,
north_europe_2010,HW,cn_only,,,,0.9459813048400365,0.7549809836322309,0.7487099745003031,0.5704621955427657
north_europe_2010,HW,era5_only,,,,0.901831917061656,0.3994167964442891,0.4573142642883925,0.29644032721767755
north_europe_2010,HW,cn_era5,,,,0.9589572913893796,0.7351513534572626,0.7478201243525237,0.5600734339885418
north_europe_2018,CC,cn_only,0.517458438873291,0.728155674219186,0.04748598858714104,,,,
north_europe_2018,CC,era5_only,-0.011350750923156738,0.27701464596128317,0.08952561020851135,,,,
north_europe_2018,CC,cn_era5,0.5154739618301392,0.7275412475660793,0.04735152795910835,,,,
north_europe_2018,BC,cn_only,0.5017353296279907,0.7129382803972056,3.2523669801776123,,,,
north_europe_2018,BC,era5_only,0.040168046951293945,0.3018114665180088,5.438694756776385,,,,
north_europe_2018,BC,cn_era5,0.5035473108291626,0.7163012908964663,3.318736787605303,,,,
north_europe_2018,DC,cn_only,0.538954496383667,0.74129417913357,0.005268014036118984,,,,
north_europe_2018,DC,era5_only,-0.008793473243713379,0.35395072846981773,0.009213651530444622,,,,
north_europe_2018,DC,cn_era5,0.5543185472488403,0.7474063632609056,0.005525261629372835,,,,
north_europe_2018,HW,cn_only,,,,0.8953162550924637,0.6479421176606294,0.6215863703493182,0.4340978918281772
north_europe_2018,HW,era5_only,,,,0.8956703959014806,0.3096758473800653,0.421317846590117,0.26247545607082934
north_europe_2018,HW,cn_era5,,,,0.9441381479863101,0.6754564765946861,0.6287491418090153,0.4227485493894274
south_europe_2003,CC,cn_only,0.563861608505249,0.7579550860249721,0.05497210472822189,,,,
south_europe_2003,CC,era5_only,0.021010100841522217,0.31089113490825615,0.11696936935186386,,,,
south_europe_2003,CC,cn_era5,0.5748282670974731,0.7635088093080896,0.056197598576545715,,,,
south_europe_2003,BC,cn_only,0.554701566696167,0.7478371817022039,3.5566563383326866,,,,
south_europe_2003,BC,era5_only,-0.006984353065490723,0.2711009103129589,6.479828016381362,,,,
south_europe_2003,BC,cn_era5,0.5492655634880066,0.7435542953703517,3.678851214772294,,,,
south_europe_2003,DC,cn_only,0.5865302681922913,0.7681315364436664,0.0063093011267483234,,,,
south_europe_2003,DC,era5_only,0.011055350303649902,0.28593136028363875,0.012002971954643726,,,,
south_europe_2003,DC,cn_era5,0.5918765068054199,0.771657930181249,0.006187564693391323,,,,
south_europe_2003,HW,cn_only,,,,0.8987312483683673,0.6674470254593098,0.6483612267494102,0.4332012978289455
